unit_type,unit_name,n_flipped,delta_far,delta_frr,delta_accept_precision,far,frr,accept_rate,accept_precision,delta_soft_auc
criterion,surface_planarity,12,0.03584229390681004,-0.005934718100890191,-0.015398521690631939,0.48028673835125446,0.20771513353115728,0.650974025974026,0.6658354114713217,
criterion,normal_consistency,3,0.010752688172043057,0.0,-0.005213524998688435,0.4551971326164875,0.21364985163204747,0.6363636363636364,0.6760204081632653,
criterion,depth_quality,3,0.0035842293906810374,-0.005934718100890191,-0.00011148418236184288,0.44802867383512546,0.20771513353115728,0.6363636363636364,0.6811224489795918,
criterion,min_suction_area,8,0.010752688172043057,-0.014836795252225504,-0.0011331774944474127,0.4551971326164875,0.19881305637982197,0.6444805194805194,0.6801007556675063,
criterion,corridor_clearance,11,0.03584229390681004,-0.0029673590504450953,-0.01623393316195365,0.48028673835125446,0.21068249258160238,0.6493506493506493,0.665,
criterion,segmentation_consistency,61,0.06810035842293904,-0.12462908011869435,0.000988289060268488,0.5125448028673835,0.08902077151335312,0.7305194805194806,0.6822222222222222,
criterion,force_estimate,10,0.0,-0.029673590504451036,0.007989124482156607,0.4444444444444444,0.18397626112759644,0.6477272727272727,0.6892230576441103,
check,existence,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.0
check,top_height_match,1,0.0035842293906810374,0.0,-0.0017467536747741708,0.44802867383512546,0.21364985163204747,0.6331168831168831,0.6794871794871795,0.0018506110207077153
check,bbox_extent,42,0.04301075268817206,-0.08902077151335311,0.0032208232185567676,0.4874551971326165,0.12462908011869436,0.6996753246753247,0.6844547563805105,-0.004934962721887204
check,bbox_inlier,4,0.007168458781362019,-0.005934718100890191,-0.0018446201848544286,0.45161290322580644,0.20771513353115728,0.637987012987013,0.6793893129770993,0.00741307977835215
check,bbox_surface_dist,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.002339853014687976
check,bbox_top_normal,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.004466992118949631
check,bbox_coverage,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.0025206598385502377
check,planarity,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.002988630441487783
check,normal_angle,2,0.007168458781362019,0.0,-0.003484572548142939,0.45161290322580644,0.21364985163204747,0.6347402597402597,0.6777493606138107,0.000765770077534228
check,normal_scatter,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.0009359412058752015
check,suction_area,6,0.010752688172043057,-0.008902077151335314,-0.0027529205037258864,0.4551971326164875,0.20474777448071216,0.6412337662337663,0.6784810126582278,0.0006381417312785187
check,edge_clearance,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,-0.0001914425193834668
check,data_gaps,3,0.0035842293906810374,-0.005934718100890191,-0.00011148418236184288,0.44802867383512546,0.20771513353115728,0.6363636363636364,0.6811224489795918,0.004956234112929836
check,depth_seam,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,2.1271391042604337e-05
check,surface_warp,2,0.007168458781362019,0.0,-0.003484572548142939,0.45161290322580644,0.21364985163204747,0.6347402597402597,0.6777493606138107,0.0073173585186603884
check,normal_alignment,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.00017017112834100123
check,surface_warp_robust,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0.005817725450155853
check,suction_force,0,0.0,0.0,0.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,-0.01954840836816521
check,wrench_lever,3,0.0,-0.008902077151335314,0.0024395362258013975,0.4444444444444444,0.20474777448071216,0.6363636363636364,0.6836734693877551,-0.009338140667708966
check,corridor_clear,11,0.03584229390681004,-0.0029673590504450953,-0.01623393316195365,0.48028673835125446,0.21068249258160238,0.6493506493506493,0.665,-0.003509779522031742
