scene_id,category_band,funnel_stage,released,released_valid,handover_status_raw,degenerate_plane
scene_649,angled_occluded,rejected,False,,success|REJECT,True
scene_650,angled_dense,released,True,True,success|ACCEPT,False
scene_651,angled_chaotic,no_candidates,,,no_target|empty_candidates,True
scene_652,angled_occluded,rejected,False,,no_grasp,True
scene_653,angled_dense,no_candidates,,,no_target|empty_candidates,False
scene_654,angled_chaotic,released,True,False,success|ACCEPT,False
scene_655,angled_occluded,no_candidates,,,no_target|empty_candidates,False
scene_656,angled_dense,no_candidates,,,no_target|empty_candidates,False
scene_657,angled_chaotic,released,True,False,success|ACCEPT,False
scene_658,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_659,angled_dense,rejected,False,,success|REJECT,True
scene_660,angled_chaotic,rejected,False,,success|REJECT,False
scene_661,angled_occluded,rejected,False,,success|REJECT,True
scene_662,angled_dense,released,True,False,success|ACCEPT,False
scene_663,angled_chaotic,released,True,True,success|ACCEPT,False
scene_664,angled_occluded,rejected,False,,success|REJECT,True
scene_665,angled_dense,rejected,False,,success|REJECT,False
scene_666,angled_chaotic,rejected,False,,success|REJECT,True
scene_667,angled_occluded,rejected,False,,success|REJECT,False
scene_668,angled_dense,no_candidates,,,no_target|empty_candidates,True
scene_669,angled_chaotic,rejected,False,,no_grasp,True
scene_670,angled_occluded,released,True,True,success|ACCEPT,False
scene_671,angled_dense,no_candidates,,,no_target|empty_candidates,False
scene_672,angled_chaotic,rejected,False,,success|REJECT,True
scene_673,angled_occluded,rejected,False,,success|REJECT,False
scene_674,angled_dense,rejected,False,,no_grasp,True
scene_675,angled_chaotic,rejected,False,,success|REJECT,False
scene_676,angled_occluded,no_candidates,,,inferred|empty_candidates,True
scene_677,angled_dense,rejected,False,,success|REJECT,True
scene_678,angled_chaotic,no_candidates,,,inferred|empty_candidates,True
scene_679,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_680,angled_dense,rejected,False,,success|REJECT,False
scene_681,angled_chaotic,rejected,False,,success|REJECT,False
scene_682,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_683,angled_dense,no_candidates,,,inferred|empty_candidates,False
scene_684,angled_chaotic,rejected,False,,success|REJECT,True
scene_685,angled_occluded,rejected,False,,success|REJECT,True
scene_686,angled_dense,no_candidates,,,no_target|empty_candidates,True
scene_687,angled_chaotic,rejected,False,,success|REJECT,True
scene_688,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_689,angled_dense,rejected,False,,success|REJECT,False
scene_690,angled_chaotic,rejected,False,,success|REJECT,False
scene_691,angled_occluded,released,True,True,success|ACCEPT,False
scene_692,angled_dense,released,True,False,success|ACCEPT,False
scene_693,angled_chaotic,rejected,False,,success|REJECT,True
scene_694,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_695,angled_dense,rejected,False,,success|REJECT,True
scene_696,angled_chaotic,no_candidates,,,no_target|empty_candidates,True
scene_697,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_698,angled_dense,rejected,False,,success|REJECT,False
scene_699,angled_chaotic,rejected,False,,no_grasp,True
scene_700,angled_occluded,released,True,False,success|ACCEPT,False
scene_701,angled_dense,rejected,False,,success|REJECT,True
scene_702,angled_chaotic,released,True,True,success|ACCEPT,False
scene_703,angled_occluded,rejected,False,,success|REJECT,True
scene_704,angled_dense,no_candidates,,,no_target|empty_candidates,True
scene_705,angled_chaotic,rejected,False,,success|REJECT,False
scene_706,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_707,angled_dense,rejected,False,,success|REJECT,False
scene_708,angled_chaotic,rejected,False,,success|REJECT,True
scene_709,angled_occluded,released,True,True,success|ACCEPT,False
scene_710,angled_dense,rejected,False,,success|REJECT,True
scene_711,angled_chaotic,rejected,False,,success|REJECT,True
scene_712,angled_occluded,rejected,False,,success|REJECT,False
scene_713,angled_dense,no_candidates,,,no_target|empty_candidates,True
scene_714,angled_chaotic,released,True,True,success|ACCEPT,False
scene_715,angled_occluded,no_candidates,,,no_target|empty_candidates,True
scene_716,angled_dense,rejected,False,,success|REJECT,False
scene_717,angled_chaotic,released,True,True,success|ACCEPT,False
scene_718,angled_occluded,no_candidates,,,no_target|empty_candidates,False
scene_719,angled_dense,rejected,False,,success|REJECT,True
scene_720,angled_chaotic,rejected,False,,success|REJECT,True
scene_721,angled_occluded,rejected,False,,success|REJECT,True
scene_722,angled_dense,rejected,False,,success|REJECT,False
scene_723,angled_chaotic,rejected,False,,success|REJECT,True
scene_724,angled_occluded,rejected,False,,success|REJECT,True
scene_725,angled_dense,no_candidates,,,no_target|empty_candidates,True
scene_726,angled_chaotic,no_candidates,,,inferred|empty_candidates,True
scene_727,angled_occluded,released,True,True,success|ACCEPT,False
