check_param,tau,tau_rel,far,frr,accept_rate,accept_precision,n_rejects_by_check
existence.min_valid_fraction,0.15,0.25,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.17569132607677707,0.2928188767946285,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.20578294705744274,0.3429715784290712,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.2410285256833955,0.40171420947232583,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.2823108086643085,0.4705180144405142,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.33066373560026435,0.5511062260004406,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.38729833462074165,0.6454972243679028,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.45363305331230297,0.7560550888538383,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.5313292845913055,0.8855488076521758,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.6,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.6223329772884783,1.0372216288141305,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.7289233736074769,1.214872289345795,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,0.8537700941163708,1.4229501568606182,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
existence.min_valid_fraction,1.0,1.6666666666666667,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,0
top_height_match.top_height_tol_m,0.0075,0.25,0.4229390681003584,0.2314540059347181,0.612012987012987,0.6870026525198939,85
top_height_match.top_height_tol_m,0.009449407874211547,0.31498026247371824,0.4265232974910394,0.228486646884273,0.6152597402597403,0.6860158311345647,78
top_height_match.top_height_tol_m,0.011905507889761496,0.3968502629920499,0.43727598566308246,0.22551928783382788,0.6217532467532467,0.6814621409921671,68
top_height_match.top_height_tol_m,0.015000000000000003,0.5000000000000001,0.44086021505376344,0.21364985163204747,0.6298701298701299,0.6829896907216495,58
top_height_match.top_height_tol_m,0.018898815748423097,0.6299605249474366,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,48
top_height_match.top_height_tol_m,0.023811015779522982,0.7937005259840995,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,34
top_height_match.top_height_tol_m,0.029999999999999995,0.9999999999999999,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,28
top_height_match.top_height_tol_m,0.03,1.0,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,28
top_height_match.top_height_tol_m,0.0377976314968462,1.2599210498948734,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,23
top_height_match.top_height_tol_m,0.04762203155904597,1.5874010519681991,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,17
top_height_match.top_height_tol_m,0.05999999999999997,1.9999999999999991,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,13
top_height_match.top_height_tol_m,0.07559526299369236,2.5198420997897455,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,12
top_height_match.top_height_tol_m,0.09524406311809196,3.1748021039363987,0.4444444444444444,0.21364985163204747,0.6314935064935064,0.6812339331619537,8
top_height_match.top_height_tol_m,0.12,4.0,0.44802867383512546,0.21364985163204747,0.6331168831168831,0.6794871794871795,3
bbox_extent.extent_rel_dev_max,0.0375,0.25,0.17204301075268819,0.629080118694362,0.28084415584415584,0.7225433526011561,349
bbox_extent.extent_rel_dev_max,0.04724703937105775,0.31498026247371835,0.21505376344086022,0.5192878338278932,0.36038961038961037,0.7297297297297297,288
bbox_extent.extent_rel_dev_max,0.059527539448807475,0.39685026299204984,0.26881720430107525,0.4391691394658754,0.42857142857142855,0.7159090909090909,232
bbox_extent.extent_rel_dev_max,0.07500000000000001,0.5000000000000001,0.32616487455197135,0.34124629080118696,0.5081168831168831,0.7092651757188498,169
bbox_extent.extent_rel_dev_max,0.09449407874211548,0.6299605249474365,0.3763440860215054,0.2878338278931751,0.560064935064935,0.6956521739130435,127
