check_a,tau_a,check_b,tau_b,far,frr
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.075,0.3333333333333333,0.3323442136498516
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.09449407874211548,0.3870967741935484,0.2789317507418398
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.11905507889761496,0.44086021505376344,0.24925816023738873
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.15,0.4551971326164875,0.20474777448071216
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.18898815748423098,0.48028673835125446,0.1661721068249258
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.2381101577952299,0.4946236559139785,0.14540059347181009
suction_area.min_area_ratio,0.475,bbox_extent.extent_rel_dev_max,0.3,0.5017921146953405,0.142433234421365
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.075,0.3333333333333333,0.3323442136498516
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.09449407874211548,0.3870967741935484,0.2789317507418398
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.11905507889761496,0.44086021505376344,0.24925816023738873
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.15,0.4551971326164875,0.20474777448071216
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.18898815748423098,0.48028673835125446,0.1661721068249258
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.2381101577952299,0.4946236559139785,0.14540059347181009
suction_area.min_area_ratio,0.7124999999999999,bbox_extent.extent_rel_dev_max,0.3,0.5017921146953405,0.142433234421365
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.075,0.32616487455197135,0.34124629080118696
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.09449407874211548,0.3763440860215054,0.2878338278931751
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.11905507889761496,0.43010752688172044,0.258160237388724
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.15,0.4444444444444444,0.21364985163204747
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.18898815748423098,0.4659498207885305,0.17507418397626112
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.2381101577952299,0.48028673835125446,0.1543026706231454
suction_area.min_area_ratio,0.95,bbox_extent.extent_rel_dev_max,0.3,0.4874551971326165,0.1513353115727003
bbox_extent.extent_rel_dev_max,0.075,bbox_inlier.inlier_min,0.4,0.32616487455197135,0.34124629080118696
bbox_extent.extent_rel_dev_max,0.075,bbox_inlier.inlier_min,0.5039684199579493,0.32616487455197135,0.34124629080118696
bbox_extent.extent_rel_dev_max,0.075,bbox_inlier.inlier_min,0.6349604207872798,0.32616487455197135,0.34124629080118696
bbox_extent.extent_rel_dev_max,0.075,bbox_inlier.inlier_min,0.8,0.32616487455197135,0.34124629080118696
bbox_extent.extent_rel_dev_max,0.09449407874211548,bbox_inlier.inlier_min,0.4,0.3763440860215054,0.28486646884273
bbox_extent.extent_rel_dev_max,0.09449407874211548,bbox_inlier.inlier_min,0.5039684199579493,0.3763440860215054,0.28486646884273
bbox_extent.extent_rel_dev_max,0.09449407874211548,bbox_inlier.inlier_min,0.6349604207872798,0.3763440860215054,0.28486646884273
bbox_extent.extent_rel_dev_max,0.09449407874211548,bbox_inlier.inlier_min,0.8,0.3763440860215054,0.2878338278931751
bbox_extent.extent_rel_dev_max,0.11905507889761496,bbox_inlier.inlier_min,0.4,0.43727598566308246,0.2551928783382789
bbox_extent.extent_rel_dev_max,0.11905507889761496,bbox_inlier.inlier_min,0.5039684199579493,0.43727598566308246,0.2551928783382789
bbox_extent.extent_rel_dev_max,0.11905507889761496,bbox_inlier.inlier_min,0.6349604207872798,0.43727598566308246,0.2551928783382789
bbox_extent.extent_rel_dev_max,0.11905507889761496,bbox_inlier.inlier_min,0.8,0.43010752688172044,0.258160237388724
bbox_extent.extent_rel_dev_max,0.15,bbox_inlier.inlier_min,0.4,0.45161290322580644,0.20771513353115728
bbox_extent.extent_rel_dev_max,0.15,bbox_inlier.inlier_min,0.5039684199579493,0.45161290322580644,0.20771513353115728
bbox_extent.extent_rel_dev_max,0.15,bbox_inlier.inlier_min,0.6349604207872798,0.45161290322580644,0.20771513353115728
bbox_extent.extent_rel_dev_max,0.15,bbox_inlier.inlier_min,0.8,0.4444444444444444,0.21364985163204747
bbox_extent.extent_rel_dev_max,0.18898815748423098,bbox_inlier.inlier_min,0.4,0.48028673835125446,0.1632047477744807
bbox_extent.extent_rel_dev_max,0.18898815748423098,bbox_inlier.inlier_min,0.5039684199579493,0.48028673835125446,0.1632047477744807
bbox_extent.extent_rel_dev_max,0.18898815748423098,bbox_inlier.inlier_min,0.6349604207872798,0.48028673835125446,0.1632047477744807
bbox_extent.extent_rel_dev_max,0.18898815748423098,bbox_inlier.inlier_min,0.8,0.4659498207885305,0.17507418397626112
bbox_extent.extent_rel_dev_max,0.2381101577952299,bbox_inlier.inlier_min,0.4,0.4982078853046595,0.13649851632047477
bbox_extent.extent_rel_dev_max,0.2381101577952299,bbox_inlier.inlier_min,0.5039684199579493,0.4982078853046595,0.13649851632047477
bbox_extent.extent_rel_dev_max,0.2381101577952299,bbox_inlier.inlier_min,0.6349604207872798,0.4982078853046595,0.13649851632047477
bbox_extent.extent_rel_dev_max,0.2381101577952299,bbox_inlier.inlier_min,0.8,0.48028673835125446,0.1543026706231454
bbox_extent.extent_rel_dev_max,0.3,bbox_inlier.inlier_min,0.4,0.5053763440860215,0.11572700296735905
bbox_extent.extent_rel_dev_max,0.3,bbox_inlier.inlier_min,0.5039684199579493,0.5053763440860215,0.11572700296735905
bbox_extent.extent_rel_dev_max,0.3,bbox_inlier.inlier_min,0.6349604207872798,0.5053763440860215,0.11572700296735905
bbox_extent.extent_rel_dev_max,0.3,bbox_inlier.inlier_min,0.8,0.4874551971326165,0.1513353115727003
