point,category,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
D,all,0.03484761357101783,0.8392756083757782,0.0011318619128466328,0.8605520414031053
S,all,0.0025301897642323176,0.32597623089983024,0.006791171477079796,0.9082806210465785
M,all,0.0025301897642323176,0.32597623089983024,0.006791171477079796,0.9082806210465785
F,all,0.0056354226566992524,0.2360939431396786,0.05686032138442522,0.8881541115583669
F,baseline,0.019197207678883072,0.027149321266968326,0.06787330316742081,0.6701570680628273
F,mixed,0.011713933415536375,0.09549071618037135,0.13527851458885942,0.8267570900123304
F,dense,0.002813203300825206,0.3026086956521739,0.02608695652173913,0.9077269317329333
F,chaotic,0.006893156080748399,0.2869198312236287,0.08016877637130802,0.9182668636139832
F,lighting,0.008350730688935281,0.4,0.02127659574468085,0.8796102992345164
F,occlusion,0.0,0.08227848101265822,0.0189873417721519,0.8936495791889824
F,edge,0.0057251908396946565,0.1565217391304348,0.05217391304347826,0.8091603053435115
F,tilted,0.002183406113537118,0.34328358208955223,0.029850746268656716,0.8799126637554585
F,angled_dense,0.008935219657483246,0.375,0.06547619047619048,0.9046909903201787
F,angled_chaotic,0.0071146245059288534,0.37012987012987014,0.05194805194805195,0.9067193675889328
F,angled_occluded,0.0013351134846461949,0.175,0.025,0.9305740987983978
