label,point,n_scenes,n_gt_eval,obj_per_scene,ap_macro,ap50_macro,ap75_macro,ap_micro,mean_iou,pq,sq,rq,precision,recall,f1,box_recall,tp,fp,fn,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
D,D,728,17390,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176228010648849,0.955291454442558,0.09706728004600346,0.17622801064884902,0.12997912778483567,1688,79,15702,0.03484761357101783,0.8392756083757782,0.0011318619128466328,0.8605520414031053
S,S,728,17390,23.89,0.10093398683924885,0.12144219031983744,0.10291389467521594,0.10093398683924885,0.8804629217868781,0.14661359923266384,0.8804629217868781,0.16651876598632354,0.9026598754951896,0.09171937895342151,0.16651876598632356,,1595,172,15795,0.0025301897642323176,0.32597623089983024,0.006791171477079796,0.9082806210465785
M,M,728,17390,23.89,0.10093398683924885,0.12144219031983744,0.10291389467521594,0.10093398683924885,0.8804629217868781,0.14661359923266384,0.8804629217868781,0.16651876598632354,0.9026598754951896,0.09171937895342151,0.16651876598632356,,1595,172,15795,0.0025301897642323176,0.32597623089983024,0.006791171477079796,0.9082806210465785
F,F,728,17390,23.89,0.10669549554199126,0.1359649196060602,0.10878206663210725,0.10669549554199126,0.8686654820201534,0.1705156544915172,0.8686654820201534,0.19629610940101933,0.8014009064688916,0.11184588844163312,0.19629610940101933,,1945,482,15445,0.0056354226566992524,0.2360939431396786,0.05686032138442522,0.8881541115583669
