scene_id,category_band,gt_class,theta_deg,within_12deg,within_30deg,status
scene_701,angled_dense,,,,,target_unmatched
scene_702,angled_chaotic,Ikea Cardboard Package,0.00887834580073721,True,True,evaluated
scene_703,angled_occluded,,,,,target_unmatched
scene_704,angled_dense,,,,,no_target
scene_705,angled_chaotic,Куб,0.013549726952810454,True,True,evaluated
scene_706,angled_occluded,,,,,no_target
scene_707,angled_dense,,,,,target_unmatched
scene_708,angled_chaotic,,,,,target_unmatched
scene_709,angled_occluded,Ikea Cardboard Package,0.008225689552628198,True,True,evaluated
scene_710,angled_dense,,,,,target_unmatched
scene_711,angled_chaotic,,,,,target_unmatched
scene_712,angled_occluded,Ikea Cardboard Package,0.00826363557225684,True,True,evaluated
scene_713,angled_dense,,,,,no_target
scene_714,angled_chaotic,Storage_Box_with_Lid,0.006412344094770996,True,True,evaluated
scene_715,angled_occluded,,,,,no_target
scene_716,angled_dense,China Package,0.008987574819104066,True,True,evaluated
scene_717,angled_chaotic,Colis VistaPrint,0.010500883044552213,True,True,evaluated
scene_718,angled_occluded,,,,,no_target
scene_719,angled_dense,,,,,target_unmatched
scene_720,angled_chaotic,,,,,target_unmatched
scene_721,angled_occluded,Ikea Cardboard Package,0.02570974046083351,True,True,evaluated
scene_722,angled_dense,Colis VistaPrint,0.005784072628854184,True,True,evaluated
scene_723,angled_chaotic,,,,,target_unmatched
scene_724,angled_occluded,,,,,target_unmatched
scene_725,angled_dense,,,,,no_target
scene_726,angled_chaotic,,,,,no_target
scene_727,angled_occluded,Ikea Cardboard Package,0.004474507205377533,True,True,evaluated
