point,gt_eval_primary,gt_eval_strict,gt_eval_delta,recall_primary,recall_strict,precision_primary,precision_strict,f1_primary,f1_strict,pq_primary,pq_strict,ap_primary,ap_strict,mean_iou_primary,mean_iou_strict
D,17390,17165,-225,0.09706728004600346,0.09833964462569182,0.955291454442558,0.955291454442558,0.17622801064884902,0.17832241707162477,0.0,0.0,0.0,0.0,0.0,0.0
S,17390,17165,-225,0.07475560667050028,0.07573550830177687,0.7505773672055427,0.7505773672055427,0.13596904089530384,0.13758797692755464,0.11573791911121266,0.11711597021985545,0.07649874776967323,0.07743686659491249,0.8512078804786956,0.8512078804786956
M,17390,17165,-225,0.060379528464634846,0.061170987474512085,0.8764607679465777,0.8764607679465777,0.1129761136216914,0.11436039862767522,0.09562584712368956,0.0967975410518511,0.0622210594708889,0.06295943067885244,0.8464253553976865,0.8464253553976865
F,17390,17165,-225,0.0625646923519264,0.06338479464025634,0.85,0.85,0.11655061596143547,0.11797235023041475,0.09841826972044747,0.0996188178737194,0.06331153498022438,0.06406520339096859,0.8444251358826996,0.8444251358826996
