label,point,n_scenes,n_gt_eval,obj_per_scene,ap_macro,ap50_macro,ap75_macro,ap_micro,mean_iou,pq,sq,rq,precision,recall,f1,box_recall,tp,fp,fn,over_segmentation_rate,merge_rate,hallucination_rate,miss_rate
D,D,728,17390,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176228010648849,0.955291454442558,0.09706728004600346,0.17622801064884902,0.12997912778483567,1688,79,15702,0.03484761357101783,0.8392756083757782,0.0011318619128466328,0.8605520414031053
S,S,728,17390,23.89,0.07649874776967323,0.10268851642381305,0.08599416893560519,0.07649874776967323,0.8512078804786956,0.11573791911121266,0.8512078804786956,0.13596904089530384,0.7505773672055427,0.07475560667050028,0.13596904089530384,,1300,432,16090,0.00718803910293272,0.19399538106235567,0.03695150115473441,0.9252443933294997
M,M,728,17390,23.89,0.0622210594708889,0.08477941073357852,0.07197095659949243,0.0622210594708889,0.8464253553976865,0.09562584712368956,0.8464253553976865,0.11297611362169141,0.8764607679465777,0.060379528464634846,0.1129761136216914,,1050,148,16340,0.0013225991949396205,0.17111853088480802,0.005008347245409015,0.9396204715353651
F,F,728,17390,23.89,0.06331153498022438,0.08688654055677662,0.0728698875445757,0.06331153498022438,0.8444251358826996,0.09841826972044747,0.8444251358826996,0.11655061596143546,0.85,0.0625646923519264,0.11655061596143547,,1088,192,16302,0.001667625071880391,0.15625,0.015625,0.9374353076480736
